attention_type,positional_encoding_type,block_type,n_heads,n_kv_heads,context_len,batch_size,num_parameters,val_loss,val_ppl,train_tokens_per_sec,train_time_sec_total,train_time_sec_per_epoch,infer_tokens_per_sec,infer_ms_per_token,peak_gpu_mem_mb,nan_steps,grad_norm_mean,grad_norm_max,step_loss_std
scaled_dot_product,learned,standard_transformer_block,8,2,512,8,55145984,8.49390645180979,4884.911520422555,15918.01418551437,152.33256936073303,152.33256936073303,170.11133255116465,5.878503125000378,4682.7763671875,0,6.183402983320726,126.47895812988281,19.784663384058074
scaled_dot_product,learned,standard_transformer_block,8,2,1024,4,55145984,8.623042268137779,5558.270446828386,12222.12570931082,198.3969120979309,198.3969120979309,164.0523388480539,6.09561562500005,5582.2294921875,0,inf,inf,19.73117211346909
local_window,learned,standard_transformer_block,8,2,512,8,55145984,8.436814846531037,4613.835780499403,15593.284801025604,155.50488758087158,155.50488758087158,130.6266138254807,7.655407812499959,4680.0419921875,0,6.291667539727044,125.47734832763672,19.832003831952978
local_window,learned,standard_transformer_block,8,2,1024,4,55145984,8.654846022205968,5737.885388408455,12564.377466473494,192.99260997772217,192.99260997772217,146.4285616231682,6.829268749996231,5585.5712890625,0,6.456039977637497,123.22494506835938,19.78126590630624
sparse_block,learned,standard_transformer_block,8,2,512,8,55145984,8.470247791659448,4770.697462082529,14963.337269879445,162.0515501499176,162.0515501499176,100.18562517864036,9.981471875001091,4680.0419921875,0,6.213754335368002,119.41923522949219,19.82402770378458
sparse_block,learned,standard_transformer_block,8,2,1024,4,55145984,8.686771008276171,5924.02270607488,11629.755838238065,208.50239968299866,208.50239968299866,129.6491370228946,7.713125000002208,5583.5712890625,0,6.470746240100345,121.73091888427734,19.777646044403976
mqa,learned,standard_transformer_block,8,2,512,8,51468800,8.588933529392365,5371.881665540258,15670.63802951998,154.73728609085083,154.73728609085083,132.8046325575945,7.52985781250004,4685.3798828125,0,inf,inf,22.311575039033936
mqa,learned,standard_transformer_block,8,2,1024,4,51468800,8.706761260186472,6043.636988883893,5723.428334515767,423.66774916648865,423.66774916648865,87.79047157886801,11.39075781249943,5587.2255859375,0,inf,inf,22.27415779385464
softmax_free_relu,learned,standard_transformer_block,8,2,512,8,55145984,8.501552727914625,4922.406066804364,17349.56640667832,139.7632622718811,139.7632622718811,92.85424219837567,10.769567187502105,5451.0419921875,0,,,22.926270340369914
softmax_free_relu,learned,standard_transformer_block,8,2,1024,4,55145984,8.571812745063536,5280.69367052003,9760.72769627477,248.42737913131714,248.42737913131714,102.60779309398393,9.745848437496818,7121.3056640625,0,,,21.01402728202767
gqa,learned,standard_transformer_block,8,8,512,8,55145984,8.481524775105138,4824.801027529856,22725.49793449661,106.70094037055969,106.70094037055969,106.20777825947212,9.415506249993655,4734.4501953125,0,inf,inf,19.9978377575287
gqa,learned,standard_transformer_block,8,4,512,8,53044736,8.507522806044548,4951.881112227089,22794.791963335756,106.37657952308655,106.37657952308655,109.70648715019908,9.115231250007128,4706.4033203125,0,6.485228553011611,129.30702209472656,20.14403010764182
gqa,learned,standard_transformer_block,8,2,512,8,51994112,8.457295148603377,4709.302790710773,23231.77688786807,104.37565803527832,104.37565803527832,103.9706724725415,9.618096875001925,4692.3798828125,0,inf,inf,22.207850455879463
gqa,learned,standard_transformer_block,8,1,512,8,51468800,8.588933529392365,5371.881665540258,23360.03092870184,103.80260229110718,103.80260229110718,99.70510656838088,10.02957656250203,4685.3798828125,0,inf,inf,22.311575039033936
gqa,learned,standard_transformer_block,8,8,1024,4,55145984,8.65460576549653,5736.506988537445,17186.584464471387,141.08864998817444,141.08864998817444,111.0441183486741,9.005429687505284,5636.2958984375,0,inf,inf,20.018584059657506
gqa,learned,standard_transformer_block,8,4,1024,4,53044736,8.691844970949235,5954.157362569388,17520.31561112945,138.40115976333618,138.40115976333618,115.35567941062342,8.668840625006169,5608.2490234375,0,6.631479650735855,130.55487060546875,20.17949164936661
gqa,learned,standard_transformer_block,8,2,1024,4,51994112,8.719054683562248,6118.392536445072,17360.608929319438,139.67436337471008,139.67436337471008,92.31898806852477,10.832007812496158,5594.2255859375,0,inf,inf,22.1960053447828
gqa,learned,standard_transformer_block,8,1,1024,4,51468800,8.706761260186472,6043.636988883893,17590.40511193252,137.8496961593628,137.8496961593628,95.73375962778076,10.445635937500697,5587.2255859375,0,inf,inf,22.27415779385464
