positional_encoding_type,attention_type,train_ctx,eval_ctx,val_loss,val_ppl
rope,scaled_dot_product,512,512,8.294666767120361,4002.4692699215593
rope,scaled_dot_product,512,1024,8.367356100390035,4304.241024500825
alibi,scaled_dot_product,512,512,8.42967248916626,4580.999520275494
alibi,scaled_dot_product,512,1024,8.473143008447462,4784.52967943711
relative_shaw,scaled_dot_product,512,512,8.288250317573548,3976.869844328868
relative_shaw,scaled_dot_product,512,1024,8.347508345880817,4219.653716158624
learned,scaled_dot_product,512,512,8.461143822669984,4727.462284804865
learned,scaled_dot_product,512,1024,8.521250832465388,5020.3294221018405
sinusoidal,scaled_dot_product,512,512,8.40399543762207,4464.87026823545
sinusoidal,scaled_dot_product,512,1024,8.483488052122054,4834.282753079749
